"il","neden","gelen_sayi","giden_sayi","net_goc"
"Hatay","Eğitim Education",4718,10456,-5738
"Hatay","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3967,11473,-7506
"Hatay","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",6372,11515,-5143
"Hatay","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",23433,1155,22278
"Hatay","Sağlık / bakım Health / care",116,211,-95
"Hatay","Ev alınması Buying a house",460,955,-495
"Hatay","Emeklilik Retirement",107,220,-113
"Hatay","Diğer Other",1492,1242,250
"Hatay","Bilinmeyen Unknown",3205,1849,1356
"Isparta","Tayin / iş değişikliği Assignation / change of job",1943,1976,-33
"Isparta","İşe başlamak / iş bulmak Starting / finding a job",932,2233,-1301
"Isparta","Eğitim Education",6741,3867,2874
"Isparta","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2533,2644,-111
"Isparta","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3181,3358,-177
"Isparta","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",367,760,-393
"Isparta","Sağlık / bakım Health / care",116,96,20
"Isparta","Ev alınması Buying a house",379,438,-59
"Isparta","Emeklilik Retirement",89,68,21
"Isparta","Diğer Other",234,204,30
"Isparta","Bilinmeyen Unknown",828,3047,-2219
"Mersin","Tayin / iş değişikliği Assignation / change of job",5956,4670,1286
"Mersin","İşe başlamak / iş bulmak Starting / finding a job",4307,4013,294
"Mersin","Eğitim Education",9659,12158,-2499
"Mersin","Daha iyi konut ve yaşam koşulları Better housing and living conditions",13814,9474,4340
"Mersin","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",14305,10279,4026
"Mersin","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",317,5373,-5056
"Mersin","Sağlık / bakım Health / care",211,402,-191
"Mersin","Ev alınması Buying a house",2261,1122,1139
"Mersin","Emeklilik Retirement",377,199,178
"Mersin","Diğer Other",895,919,-24
"Mersin","Bilinmeyen Unknown",4899,3048,1851
"İstanbul","Tayin / iş değişikliği Assignation / change of job",40805,31858,8947
"İstanbul","İşe başlamak / iş bulmak Starting / finding a job",44819,22044,22775
"İstanbul","Eğitim Education",48636,38882,9754
"İstanbul","Daha iyi konut ve yaşam koşulları Better housing and living conditions",109315,85230,24085
"İstanbul","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",78012,88212,-10200
"İstanbul","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",2813,19540,-16727
"İstanbul","Sağlık / bakım Health / care",2008,2201,-193
"İstanbul","Ev alınması Buying a house",14025,20237,-6212
"İstanbul","Emeklilik Retirement",2210,4349,-2139
"İstanbul","Diğer Other",5880,13017,-7137
"İstanbul","Bilinmeyen Unknown",24393,23780,613
"İzmir","Tayin / iş değişikliği Assignation / change of job",14651,11121,3530
"İzmir","İşe başlamak / iş bulmak Starting / finding a job",12267,7945,4322
"İzmir","Eğitim Education",19113,16473,2640
"İzmir","Daha iyi konut ve yaşam koşulları Better housing and living conditions",24093,19983,4110
"İzmir","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",23634,20456,3178
"İzmir","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",903,5443,-4540
"İzmir","Sağlık / bakım Health / care",894,743,151
"İzmir","Ev alınması Buying a house",3221,3268,-47
"İzmir","Emeklilik Retirement",780,826,-46
"İzmir","Diğer Other",1772,1861,-89
"İzmir","Bilinmeyen Unknown",8016,7805,211
"Kars","Tayin / iş değişikliği Assignation / change of job",1262,2915,-1653
"Kars","İşe başlamak / iş bulmak Starting / finding a job",448,1645,-1197
"Kars","Eğitim Education",2833,2743,90
"Kars","Daha iyi konut ve yaşam koşulları Better housing and living conditions",948,2496,-1548
"Kars","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2231,3993,-1762
"Kars","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",564,256,308
"Kars","Sağlık / bakım Health / care",40,92,-52
"Kars","Ev alınması Buying a house",139,458,-319
"Kars","Emeklilik Retirement",30,46,-16
"Kars","Diğer Other",109,225,-116
"Kars","Bilinmeyen Unknown",470,925,-455
"Kastamonu","Tayin / iş değişikliği Assignation / change of job",1679,2822,-1143
"Kastamonu","İşe başlamak / iş bulmak Starting / finding a job",1397,1919,-522
"Kastamonu","Eğitim Education",3987,3107,880
"Kastamonu","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2672,5167,-2495
"Kastamonu","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2836,3851,-1015
"Kastamonu","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",781,498,283
"Kastamonu","Sağlık / bakım Health / care",159,160,-1
"Kastamonu","Ev alınması Buying a house",410,718,-308
"Kastamonu","Emeklilik Retirement",217,116,101
"Kastamonu","Diğer Other",299,208,91
"Kastamonu","Bilinmeyen Unknown",754,1567,-813
"Kayseri","Tayin / iş değişikliği Assignation / change of job",4381,3725,656
"Kayseri","İşe başlamak / iş bulmak Starting / finding a job",3118,2894,224
"Kayseri","Eğitim Education",6755,9490,-2735
"Kayseri","Daha iyi konut ve yaşam koşulları Better housing and living conditions",6912,5430,1482
"Kayseri","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",9106,6817,2289
"Kayseri","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",465,2034,-1569
